season,episode_num_in_season,episode_num_overall,title,directed_by,written_by,original_air_date,us_viewers,imdb_rating,total_votes,episode_synopsis
7,9,92,Rock in the Road,Greg Nicotero,Angela Kang,2017-02-12,12000000,8.0,10633,"Jesus leads Rick and the group to the Kingdom, to convince King Ezekiel in joining Alexandria and the Hilltop in the incoming fight against Negan."
7,10,93,New Best Friends,Jeffrey F. January,Channing Powell,2017-02-19,11080000,7.3,9896,"While searching for Father Gabriel, the group comes across a mysterious new collective of survivors. Back at the Kingdom, Carol and Daryl have an emotional reunion."
7,11,94,Hostiles and Calamities,Kari Skogland,David Leslie Johnson-McGoldrick,2017-02-26,10420000,7.3,9840,"Eugene unwillingly begins to work for Negan and the Saviors at the Sanctuary. Meanwhile, Dwight pays a visit to a place from his past."
7,12,95,Say Yes,Greg Nicotero,Matthew Negrete,2017-03-05,10160000,7.0,10114,"The group scavenge for supplies. Back in Alexandria, Tara must make a morally challenging decision."
7,13,96,Bury Me Here,Alrick Riley,Scott M. Gimple,2017-03-12,10680000,7.6,9884,"Things don't go as planned, when a group of Kingdommers delivers goods to the Saviors during a routine supply drop-off."
7,14,97,The Other Side,Michael E. Satrazemis,Angela Kang,2017-03-19,10320000,6.6,9647,"The Saviors visit the Hilltop unexpectedly, surprising everyone, with plans of taking more than supplies."
7,15,98,Something They Need,Michael Slovis,Corey Reed,2017-03-26,10540000,7.5,9131,A group of Alexandrians embark on a journey; One member of the group must make a heartbreaking decision.
7,16,99,The First Day of the Rest of Your Life,Greg Nicotero,Scott M. Gimple and Angela Kang and Matthew Negrete,2017-04-02,11310000,7.7,15210,The stakes continue to grow higher as paths cross; The group enacts an intricate plan as the saviors arrive in Alexandria.
8,1,100,Mercy,Greg Nicotero,Scott M. Gimple,2017-10-22,11440000,6.9,13371,"Rick and his group, along with the Kingdom and Hilltop, band together to bring the fight to Negan and the Saviors."
8,2,101,The Damned,Rosemary Rodriguez,Matthew Negrete and Channing Powell,2017-10-29,8920000,6.7,11093,"The plan involving Alexandrians, Kingdommers and Hilltoppers unfolds; As Rick continues to fight, he encounters a familiar face."
8,3,102,Monsters,Greg Nicotero,Matthew Negrete and Channing Powell,2017-11-05,8520000,6.4,10414,"Conflict with the Saviors leads to unintended consequences for the Hilltop, the Kingdom, and Alexandria."
8,4,103,Some Guy,Dan Liu,David Leslie Johnson-McGoldrick,2017-11-12,8690000,6.8,10299,A new weapon in the Savior arsenal proves to be a giant hurdle as fighting continues between Rick's forces and those of the Saviors.
8,5,104,The Big Scary U,Michael E. Satrazemis,Scott M. Gimple and David Leslie Johnson-McGoldrick and Angela Kang,2017-11-19,7850000,7.3,9361,A close look at Negan and the lives of the Saviors during the conflict through a familiar set of eyes.
8,6,105,"The King, the Widow and Rick",John Polson,Angela Kang and Corey Reed,2017-11-26,8279999,6.2,8982,"With things looking up for Rick and the group, an argument breaks out at the Hilltop, where the consequences of the decision are life versus death."
8,7,106,Time for After,Larry Teng,Matthew Negrete and Corey Reed,2017-12-03,7470000,6.5,8618,Negan has to enlist the help of his lieutenants in solving a huge issue facing The Sanctuary; Rick and the group continue to enact the plan.
8,8,107,How It's Gotta Be,Michael E. Satrazemis,David Leslie Johnson-McGoldrick and Angela Kang,2017-12-10,7890000,6.8,11187,Every story and battle comes crashing together as everything Rick and his group have done will be put to the test.
8,9,108,Honor,Greg Nicotero,Matthew Negrete and Channing Powell,2018-02-25,8279999,6.9,10035,"Rick faces new difficulties after a battle. Meanwhile, the fight continues in other communities as core members face hard decisions."
8,10,109,The Lost and the Plunderers,David Boyd,Angela Kang and Channing Powell and Corey Reed,2018-03-04,6820000,7.6,8352,Groups unite their forces and converge on the Hilltop; Aaron and Enid search for allies; Simon takes matters into his own hands.
8,11,110,Dead or Alive Or,Michael E. Satrazemis,Eddie Guzelian,2018-03-11,6600000,6.9,7589,Daryl finds himself in bad company as his group heads to the Hilltop; Gabriel's faith gets tested.
8,12,111,The Key,Greg Nicotero,Corey Reed and Channing Powell,2018-03-18,6660000,8.0,8774,Hilltop's leadership faces a difficult dilemma after the arrival of unexpected visitors; Rick comes face to face with an adversary.
8,13,112,Do Not Send Us Astray,Jeffrey F. January,Angela Kang and Matthew Negrete,2018-03-25,6770000,7.3,7968,Trouble arises when unexpected visitors arrive at the Hilltop and the community is thrust into action; heartbreaking discoveries are made.
8,14,113,Still Gotta Mean Something,Michael E. Satrazemis,Eddie Guzelian,2018-04-01,6300000,7.2,7642,A Heaps prisoner makes a discovery; Carol searches for someone in the nearby forest; Rick and Morgan find themselves in the company of strangers.
8,15,114,Worth,Michael Slovis,David Leslie Johnson-McGoldrick and Corey Reed,2018-04-08,6670000,7.7,7653,"With the threat of the Saviors still looming, Aaron continues searching for allies; Daryl and Rosita take action and confront an old friend."
8,16,115,Wrath,Greg Nicotero,Scott M. Gimple and Angela Kang and Matthew Negrete,2018-04-15,7920000,7.6,10249,The communities join forces in the last stand against the Saviors as all-out war unfolds.
9,1,116,A New Beginning,Greg Nicotero,Angela Kang,2018-10-07,6080000,7.3,9643,"Rick and his group make a risky run into Washington, D.C. to search for artifacts they will need to build the civilization he and Carl envisioned."
9,2,117,The Bridge,Daisy von Scherler Mayer,David Leslie Johnson-McGoldrick,2018-10-14,4950000,7.7,8369,The communities join forces to restore a bridge that will facilitate communication and trade; someone is gravely injured at the construction site.
9,3,118,Warning Signs,Dan Liu,Corey Reed,2018-10-21,5040000,7.7,8054,A mysterious disappearance from the work camp threatens Rick's vision for the future.
9,4,119,The Obliged,Rosemary Rodriguez,Geraldine Inoa,2018-10-28,5100000,8.0,8258,Rick's vision of a civilized future is threatened by a sudden reckoning with past sins that remain unavenged and unforgiven.
9,5,120,What Comes After,Greg Nicotero,Scott M. Gimple and Matthew Negrete,2018-11-04,5410000,9.2,16712,Rick is forced to face the past as he struggles to maintain the safety of the communities and protect the future he and Carl envisioned.
9,6,121,Who Are You Now?,Larry Teng,Eddie Guzelian,2018-11-11,5400000,7.8,8304,The Survivors encounter unfamiliar faces outside the safety of their community's walls and must decide whether or not this new group can be trusted.
9,7,122,Stradivarius,Michael Cudlitz,Vivian Tse,2018-11-18,4790000,7.2,7628,Carol seeks out an old friend living alone in a wilderness teeming with walkers; survivors make the perilous trek to a new home.
9,8,123,Evolution,Michael E. Satrazemis,David Leslie Johnson-McGoldrick,2018-11-25,5090000,8.8,10215,"A small rescue mission braves a dangerous herd in their hunt for a missing comrade, only to discover a surprising threat that could doom them all."
9,9,124,Adaptation,Greg Nicotero,Corey Reed,2019-02-10,5160000,7.9,7086,The group unmasks a disturbing and dangerous new threat. An escaped captive revisits his past.
9,10,125,Omega,David Boyd,Channing Powell,2019-02-17,4540000,7.8,7118,Another arrival at the Hilltop Colony reveals information about the leader of a hostile new group of savages. A party searches for Alden and Luke.
9,11,126,Bounty,Meera Menon,Matthew Negrete,2019-02-24,4390000,7.7,6996,"The Whisperers, led by Alpha, confront the Hilltop in a harrowing attempt to retrieve her daughter; a supply run for the Kingdom turns into a dangerous quest."
9,12,127,Guardians,Michael E. Satrazemis,LaToya Morgan,2019-03-03,4710000,7.7,6735,"While one community struggles to ease tensions that threaten to divide from within, the true nature of another group comes into focus; a mission to rescue a friend has potentially deadly consequences."
9,13,128,Chokepoint,Liesl Tommy,Eddie Guzelian and David Leslie Johnson-McGoldrick,2019-03-10,4830000,8.2,7264,"Daryl's daring rescue mission forces Alpha to unleash a group of her own to retrieve what belongs to her, even if the price is paid in blood; the Kingdom's plans to reunite the communities are put in jeopardy."
9,14,129,Scars,Millicent Shelton,Corey Reed and Vivian Tse,2019-03-17,4570000,7.9,7546,An outsider's arrival forces Alexandria to rehash devastating old wounds; eye-opening secrets from the past are revealed.
9,15,130,The Calm Before,Laura Belsey,Geraldine Inoa and Channing Powell,2019-03-24,4150000,9.3,13501,"The four communities come together in celebration at the Kingdom's fair, but while some pacts are renewed, others come at a much steeper price."
9,16,131,The Storm,Greg Nicotero,Angela Kang and Matthew Negrete,2019-03-31,5020000,7.6,7929,"In the aftermath of an overwhelming loss, the communities must brave a ferocious blizzard; as one group deals with an enemy from within, another is forced to make a life or death decision."
10,1,132,Lines We Cross,Greg Nicotero,Angela Kang,2019-10-06,4000000,7.4,7677,The group in Oceanside continues to train in case the Whisperers return; tensions are high as the heroes struggle to hold onto their concept of civilization.
10,2,133,We Are the End of the World,Greg Nicotero,Nicole Mirante-Matthews,2019-10-13,3470000,7.0,7317,The origins of Alpha and Beta are revealed; Alpha attempts to toughen up Lydia as they prepare to walk with the dead; the Whisperers create their herds.
10,3,134,Ghosts,David Boyd,Jim Barnes,2019-10-20,3480000,7.5,6766,"The threat of the Whisperers return leads to paranoia sweeping over Alexandria; in the meantime, Carol battles with the need for revenge."
10,4,135,Silence the Whisperers,Michael Cudlitz,Geraldine Inoa,2019-10-27,3310000,7.1,6500,"The outcast Lydia is badly treated by three Alexandrians. When Negan saves her from an attack, the life changes in Alexandria. Meanwhile Michonne and a group of Alexandrians head to Hilltop to save survivors of a collapsed wall."
10,5,136,What It Always Is,Laura Belsey,Eli Jorné,2019-11-03,3090000,8.0,6965,Supplies go missing from Hilltop; Negan is idolized by Brandon; Ezekiel holds a secret.
10,6,137,Bonds,Dan Liu,Kevin Deiboldt,2019-11-10,3210000,7.7,6316,Carol and Daryl go on a mission together; Siddiq struggles to solve a mystery.
10,7,138,Open Your Eyes,Michael Cudlitz,Corey Reed,2019-11-17,3310000,7.7,6419,Carol pushes boundaries that make Daryl uneasy; Alpha and Beta have reservations about someone.
10,8,139,The World Before,John Dahl,Julia Ruchman,2019-11-24,3210000,7.2,6204,A fight causes tensions in Oceanside; The Alexandrians set out on a high-stakes mission.
10,9,140,Squeeze,Michael E. Satrazemis,David Leslie Johnson-McGoldrick,2020-02-23,3520000,7.4,6407,The collected communities are reluctantly respecting the new borderlines being imposed on them.
10,10,141,Stalker,Bronwen Hughes,Jim Barnes,2020-03-01,3160000,8.0,6567,The group must defend Alexandria from a threatening outside force.
10,11,142,Morning Star,Michael E. Satrazemis,Julia Ruchman and Vivian Tse,2020-03-08,2930000,8.3,6827,"The Whisperers are coming for Hilltop, after Daryl and Lydia's encounter with Alpha, the communities must decide whether to run or fight; Eugene's communication with Stephanie gets complicated."
10,12,143,Walk with Us,Greg Nicotero,Eli Jorné and Nicole Mirante-Matthews,2020-03-15,3490000,9.0,9366,The survivors try to escape from the Whisperer's walkers horde after the battle of Hilltop.
10,13,144,What We Become,Sharat Raju,Vivian Tse,2020-03-22,3660000,7.7,7533,"Michonne takes Virgil back to his mysterious island to reunite with his family; in exchange, Virgil promises weapons that could change the tide of the Whisperer War."
10,14,145,Look at the Flowers,Daisy von Scherler Mayer,Channing Powell,2020-03-29,3260000,7.8,6144,"Heroes and villains reckon with the aftermath of the Hilltop fire; Eugene takes a group on a journey to meet Stephanie, with the hopes of befriending another civilization."
10,15,146,The Tower,Laura Belsey,Kevin Deiboldt and Julia Ruchman,2020-04-05,3490000,7.4,6130,"The communities prepare for the final battle of the Whisperer War; meanwhile, Eugene's group encounters Princess."
10,16,147,A Certain Doom,Greg Nicotero,Jim Barnes and Eli Jorné and Corey Reed,2020-10-01,2730000,8.3,8369,Beta engages the final battle of the Whisperer War.
10,17,148,Home Sweet Home,David Boyd,Kevin Deiboldt and Corey Reed,2021-02-21,2890000,7.1,7271,"Maggie returns, to the dismay of Negan; the trials she endured since leaving have made her harder in order for her and her son to survive; Daryl and Maggie unexpectedly fight an unseen and unknown threat."
10,18,149,Find Me,David Boyd,Nicole Mirante-Matthews,2021-03-04,2260000,6.2,7570,Daryl and Carol find an old cabin that takes Daryl back to his years away from the group after Rick disappeared; he relives the painful memory of meeting a reticent survivor and the toxic events that amplified his relationship with Dog.
10,19,150,One More,Laura Belsey,Erik Mountain and Jim Barnes,2021-03-11,2170000,7.3,7477,"With Maggie's map, Gabriel and Aaron search for food and supplies to bring back to Alexandria; checking out one more location, they chance upon a stash; faith is broken and optimism is fragmented when they are put to the ultimate test."
10,20,151,Splinter,Laura Belsey,Julia Ruchman and Vivian Tse,2021-03-18,2110000,5.2,8747,"Eugene, Ezekiel, Yumiko, and Princess are captured and separated. Princess struggles with memories of her traumatic past and tries to escape one way or another with the help of Ezekiel."
10,21,152,Diverged,David Boyd,Heather Bellson,2021-03-25,1940000,4.1,10179,"Daryl and Carol come to a fork in the road and head their separate ways. Each going into their own type of survival mode, the easiest of challenges become much harder."
10,22,153,Here's Negan,Laura Belsey,David Leslie Johnson-McGoldrick,2021-04-04,2120000,9.2,13756,"Carol takes Negan on a journey, hoping to minimize the increasing tension. Negan reflects on the events that led him to this point and comes to a conclusion about his future."
11,1,154,Acheron: Part I,Kevin Dowling,Angela Kang and Jim Barnes,2021-08-15,2220000,8.3,9021,"Daryl leads a team to scavenge the military base he discovered; Maggie tells her story, prompting a new mission for survival that only Negan can lead; Eugene and his group go through assessment by the Commonwealth's paramilitary police."
11,2,155,Acheron: Part II,Kevin Dowling,Angela Kang and Jim Barnes,2021-08-22,1990000,8.4,8010,"Maggie's mission takes the team through a subway tunnel, challenged by a recalcitrant Negan and lurking walkers; with Eugene's group, Yumiko searches for answers about her brother and challenges the processes at the Commonwealth outpost."
11,3,156,Hunted,Frederick E.O. Toye,Vivian Tse,2021-08-29,1870000,7.7,7055,"Maggie's mission team gets separated and hunted by the Reapers; Carol, Rosita, Magna and Kelly attempt to catch horses for Alexandria; Judith, RJ, Hershel and Gracie cope with their parents going away."
11,4,157,Rendition,Frederick E.O. Toye,Nicole Mirante-Matthews,2021-09-05,1880000,7.2,6874,Daryl and Dog get captured by the Reapers; they are taken to the Meridian and reconnect with a familiar figure from their past.
11,5,158,Out of the Ashes,Greg Nicotero,LaToya Morgan,2021-09-12,1910000,7.5,6228,"Aaron, Carol, Lydia, and Jerry go to the Hilltop ruins for blacksmith tools and nearby game; Eugene's group goes through orientation at the Commonwealth; Maggie and Negan trudge through the woods; Judith and the kids clash with teenagers."
11,6,159,On the Inside,Greg Nicotero,Kevin Deiboldt,2021-09-19,1780000,8.6,8205,"Escaping from walkers, Connie and Virgil hide in a house occupied by mysterious creatures; Pope tests Daryl's loyalty to the Reapers with a conflicting mission; Kelly leaves Alexandria in search of Connie."
11,7,160,Promises Broken,Sharat Raju,Julia Ruchman,2021-09-26,1890000,7.7,5923,Maggie and Elijah learn a new survival tactic from Negan; Eugene's group clears walkers to pay their fines; Yumiko interviews for an upper-class job; Daryl learns more about Leah and the Reapers; Gabriel encounters a man of God.
11,8,161,For Blood,Sharat Raju,Erik Mountain,2021-10-03,1910000,8.3,6569,"The Reapers defend Meridian from an incoming herd; Pope suspects Maggie is behind the attack, while Daryl treads carefully; Alexandrians scramble to protect themselves when a violent storm leaves them vulnerable to walkers."
11,9,162,No Other Way,Jon Amiel,Corey Reed,2022-02-13,1760000,8.7,7956,"Hellfire rains down on those at Meridian as every fight with the Reapers proves to be a brutal battle. At home in Alexandria, the violent rainstorm rages on as walkers continue to pour in, threatening everyone's safety."
11,10,163,New Haunts,Jon Amiel,Magali Lozano,2022-02-20,1600000,7.4,5827,The heroes experience Halloween in the Commonwealth; Daryl and Rosita undergo military training led by Mercer; Carol investigates Ezekiel's medical condition.
11,11,164,Rogue Element,Michael Cudlitz,David Leslie Johnson-McGoldrick,2022-02-27,1670000,6.6,5760,Eugene looks for Stephanie after she mysteriously goes missing. Connie investigates a story on Trooper Davis. Carol helps Hornsby with a labor dispute at a drug farm.
11,12,165,The Lucky Ones,Tawnia McKiernan,Vivian Tse,2022-03-06,1580000,7.0,5103,"Aaron and Maggie meet Gov. Pamela Milton as she tours Alexandria, Oceanside and Hilltop; Ezekiel finds himself lucky during a routine checkup; Eugene processes Max's story."
11,13,166,Warlords,Loren Yaconelli,Jim Barnes and Erik Mountain,2022-03-13,1790000,8.2,5625,"Maggie, Lydia, and Elijah help a stranger from another community called Riverbend. They run into Aaron, who tells them about a mission he embarked on with Gabriel as emissaries for the Commonwealth."
11,14,167,The Rotten Core,Marcus Stokes,Erik Mountain and Jim Barnes,2022-03-20,1550000,8.2,5347,"Maggie, Lydia and Elijah help Aaron and Gabriel on a rescue mission; in the chaos, Negan finds himself watching over Hershel; Sebastian coerces Daryl and Rosita into pulling a heist."
11,15,168,Trust,Lily Mariye,Kevin Deiboldt,2022-03-27,1670000,7.4,4779,"Hornsby marches Daryl and troops to confront Maggie at Hilltop; after a harrowing heist, Rosita gets Connie, Kelly, Eugene, and Max to investigate the Miltons; Ezekiel helps hospital patients in need."
11,16,169,Acts of God,Catriona McKenzie,Nicole Mirante-Matthews,2022-04-03,1610000,7.8,5416,Maggie prepares to defend Hilltop and the people of Riverbend against Hornsby.
11,17,170,Lockdown,Greg Nicotero,Julia Ruchman,2022-10-02,1190000,7.4,4935,Daryl and Negan rush to the commonwealth to stop Hornsby from going after their families. Pamela deals with protesters demanding justice for Sebastian's crimes. Mercer needs Rosita's help to fight a swarm.
11,18,171,A New Deal,Jeffrey F. January,Corey Reed and Kevin Deiboldt,2022-10-02,1350000,7.5,4751,"Carol makes a deal with Pamela to wipe the slate clean on behalf of her friends. Aaron, Jerry, Lydia and Elijah get on the road to Oceanside to fill them in on a plan. The Commonwealth celebrates Founders Day."
11,19,172,Variant,Karen Gaviola,Vivian Tse,2022-10-09,1360000,7.2,4325,"Eugene goes on the run, and Mercer is tasked to find him; Aaron's group faces a complication on the road."
11,20,173,What's Been Lost,Aisha Tyler,Erik Mountain,2022-10-16,1360000,7.3,4474,Daryl and Carol search for their disappeared friends.
11,21,174,Outpost 22,Tawnia McKiernan,Jim Barnes,2022-10-23,1500000,7.2,4363,The survivors track a convoy to a mysterious destination.
11,22,175,Faith,Rose Troche,Nicole Mirante-Matthews and Magali Lozano,2022-10-30,1390000,7.9,4891,Ezekiel and Negan plan a work camp revolt; Eugene stands trial with Yumiko as his defense attorney.
11,23,176,Family,Sharat Raju,Magali Lozano and Erik Mountain and Kevin Deiboldt,2022-11-06,1470000,8.6,6483,"Reunited, the group heads back to the commonwealth where the aftermath of Eugene's trial is felt."
11,24,177,Rest in Peace,Greg Nicotero,Angela Kang and Corey Reed and Jim Barnes,2022-11-20,2270000,8.3,11220,Our survivors must save their kids and the Commonwealth.
